TEST_DATE,RF_FORECAST_OIL,ARPS_EXP_FORECAST_OIL,DIFF_RF_MINUS_ARPS
2013-07-27,472.61100730804435,104.50112579958781,368.1098815084565
2013-07-28,472.1158980038957,104.19961088082755,367.9162871230682
2013-07-29,471.6213073783628,103.89896591677385,367.72234146158894
2013-07-30,471.12723488807575,103.59918839736463,367.5280464907111
2013-07-31,470.6336799902338,103.30027581977987,367.33340417045395
2013-08-01,470.140642142605,103.00222568842099,367.138416454184
2013-08-02,469.64812080352516,102.70503551488993,366.94308528863525
2013-08-03,469.1561154318979,102.40870281796822,366.74741261392967
2013-08-04,468.6646254871934,102.11322512359652,366.5514003635969
2013-08-05,468.1736504294483,101.81859996485387,366.3550504645944
2013-08-06,467.68318971926476,101.5248248819369,366.1583648373279
2013-08-07,467.1932428178102,101.23189742213965,365.96134539567055
2013-08-08,466.7038091868163,100.9398151398327,365.76399404698356
2013-08-09,466.2148882885787,100.64857559644315,365.56631269213557
2013-08-10,465.72647958595655,100.35817636043399,365.3683032255226
2013-08-11,465.23858254237143,100.06861500728377,365.16996753508766
2013-08-12,464.75119662180714,99.77988911946663,364.9713075023405
2013-08-13,464.26432128880907,99.49199628643187,364.7723250023772
2013-08-14,463.7779560084835,99.20493410458386,364.57302190389964
2013-08-15,463.29210024649706,98.9187001772621,364.37340006923495
2013-08-16,462.80675346907617,98.63329211472102,364.17346135435514
2013-08-17,462.32191514300644,98.34870753411022,363.97320760889625
2013-08-18,461.83758473563205,98.06494405945452,363.7726406761775
2013-08-19,461.35376171485524,97.78199932163392,363.5717623932213
2013-08-20,460.87044554913564,97.49987095836418,363.37057459077147
2013-08-21,460.3876357074898,97.21855661417688,363.1690790933129
2013-08-22,459.90533165949034,96.93805394039961,362.9672777190907
2013-08-23,459.4235328752658,96.6583605951368,362.765172280129
2013-08-24,458.9422388254996,96.37947424324965,362.56276458224994
2013-08-25,458.4614489814298,96.10139255633706,362.3600564250927
2013-08-26,457.98116281484835,95.82411321271599,362.15704960213236
2013-08-27,457.50137979810063,95.547633897402,361.95374590069866
2013-08-28,457.0220994040847,95.27195230209016,361.75014710199457
2013-08-29,456.54332110625086,94.99706612513559,361.5462549811153
2013-08-30,456.06504437860093,94.72297307153426,361.3420713070667
2013-08-31,455.58726869568795,94.44967085290392,361.13759784278403
2013-09-01,455.10999353261525,94.17715718746489,360.93283634515035
2013-09-02,454.63321836503616,93.90542980002111,360.72778856501503
2013-09-03,454.15694266915324,93.63448642194115,360.52245624721206
2013-09-04,453.6811659217178,93.36432479113905,360.3168411305788
2013-09-05,453.2058876000294,93.09494265205566,360.11094494797373
2013-09-06,452.73110718193504,92.82633775563994,359.9047694262951
2013-09-07,452.25682414582883,92.55850785932972,359.6983162864991
2013-09-08,451.78303797065126,92.2914507270333,359.49158724361797
2013-09-09,451.3097481358887,92.02516412911093,359.2845840067778
2013-09-10,450.8369541215728,91.75964584235582,359.07730827921694
2013-09-11,450.36465540827993,91.49489364997565,358.86976175830426
2013-09-12,449.8928514771307,91.23090534157447,358.66194613555626
2013-09-13,449.42154180978923,90.96767871313371,358.45386309665554
2013-09-14,448.9507258884626,90.70521156699397,358.24551432146865
2013-09-15,448.4804031959004,90.44350171183696,358.03690148406343
2013-09-16,448.01057321539406,90.18254696266673,357.82802625272734
2013-09-17,447.54123543077634,89.92234514079163,357.61889028998473
2013-09-18,447.07238932642076,89.66289407380644,357.4094952526143
2013-09-19,446.604034387241,89.40419159557362,357.1998427916674
2013-09-20,446.13617009869023,89.14623554620565,356.98993455248456
2013-09-21,445.66879594676084,88.88902377204684,356.779772174714
2013-09-22,445.2019114179836,88.63255412565559,356.569357292328
2013-09-23,444.7355159994272,88.37682446578606,356.35869153364115
2013-09-24,444.2696091786977,88.12183265737049,356.1477765213272
2013-09-25,443.80419044393796,87.86757657150163,355.93661387243634
2013-09-26,443.339259283827,87.61405408541448,355.72520519841254
2013-09-27,442.87481518757954,87.36126308246882,355.5135521051107
2013-09-28,442.41085764494545,87.10920145213173,355.3016561928137
2013-09-29,441.94738614620906,86.8578670899596,355.08951905624946
2013-09-30,441.48440018218866,86.60725789758064,354.877142284608
2013-10-01,441.0218992442361,86.35737178267773,354.6645274615584
2013-10-02,440.559882824236,86.10820665897046,354.45167616526555
2013-10-03,440.09835041460525,85.85976044619795,354.23858996840727
2013-10-04,439.6373015082925,85.6120310701014,354.0252704381911
2013-10-05,439.17673559877767,85.36501646240706,353.8117191363706
2013-10-06,438.71665218007126,85.11871456080848,353.5979376192628
2013-10-07,438.2570507467138,84.87312330894956,353.3839274377642
2013-10-08,437.7979307937754,84.62824065640756,353.1696901373678
2013-10-09,437.3392918168551,84.38406455867559,352.95522725817955
2013-10-10,436.88113331208046,84.14059297714572,352.74054033493474
2013-10-11,436.4234547761068,83.89782387909219,352.5256308970146
2013-10-12,435.96625570611667,83.655755237654,352.3105004684627
2013-10-13,435.5095355998195,83.41438503181823,352.09515056800126
2013-10-14,435.05329395545095,83.17371124640333,351.8795827090476
2013-10-15,434.5975302717722,82.93373187204192,351.6637983997303
2013-10-16,434.1422440480696,82.69444490516418,351.4477991429054
2013-10-17,433.68743478415405,82.45584834798142,351.2315864361726
2013-10-18,433.23310198036046,82.21794020846882,351.01516177189166
2013-10-19,432.77924513754715,81.9807185003493,350.7985266371978
2013-10-20,432.3258637570954,81.74418124307655,350.5816825140189
2013-10-21,431.87295734090884,81.508326461819,350.3646308790899
2013-10-22,431.4205253914128,81.27315218744273,350.14737320397006
2013-10-23,430.96856741155403,81.03865645649539,349.92991095505863
2013-10-24,430.51708290479985,80.8048373111899,349.71224559360996
2013-10-25,430.0660713751379,80.57169279938776,349.49437857575015
2013-10-26,429.6155323270753,80.33922097458291,349.27631135249237
2013-10-27,429.1654652656383,80.10741989588573,349.05804536975256
2013-10-28,428.7158696963718,79.8762876280064,348.8395820683654
2013-10-29,428.2667451253385,79.64582224123893,348.62092288409957
2013-10-30,427.8180910591187,79.41602181144533,348.40206924767335
2013-10-31,427.3699070048095,79.18688442003901,348.18302258477047
2013-11-01,426.9221924700244,78.95840815396907,347.96378431605535
2013-11-02,426.4749469628929,78.73059110570455,347.74435585718834
2013-11-03,426.0281699920595,78.50343137321794,347.5247386188415
2013-11-04,425.5818610666836,78.27692705996975,347.30493400671384
2013-11-05,425.1360196964388,78.05107627489247,347.0849434215463
2013-11-06,424.6906453915123,77.82587713237501,346.8647682591373
2013-11-07,424.24573766260454,77.60132775224665,346.6444099103579
2013-11-08,423.80129602092853,77.37742625976142,346.4238697611671
2013-11-09,423.35731997820926,77.15417078558278,346.2031491926265
2013-11-10,422.91380904668324,76.93155946576748,345.9822495809158
2013-11-11,422.47076273909806,76.70959044175032,345.76117229734774
2013-11-12,422.02818056871166,76.48826186032878,345.53991870838286
2013-11-13,421.58606204929197,76.26757187364711,345.31849017564485
2013-11-14,421.14440669511623,76.04751863918116,345.0968880559351
2013-11-15,420.70321402097056,75.82810031972319,344.87511370124736
2013-11-16,420.2624835421494,75.60931508336608,344.65316845878334
2013-11-17,419.822214774455,75.39116110348832,344.43105367096666
2013-11-18,419.38240723419676,75.17363655873888,344.2087706754579
2013-11-19,418.9430604381909,74.95673963302163,343.98632080516927
2013-11-20,418.50417390375975,74.74046851548049,343.7637053882793
2013-11-21,418.0657471487313,74.5248214004841,343.5409257482472
2013-11-22,417.6277796914387,74.30979648761105,343.3179832038277
2013-11-23,417.19027105071973,74.0953919816345,343.0948790690852
2013-11-24,416.75322074591617,73.88160609250731,342.87161465340887
2013-11-25,416.3166282968734,73.66843703534728,342.6481912615261
2013-11-26,415.88049322393965,73.45588303042194,342.4246101935177
2013-11-27,415.4448150479659,73.24394230313386,342.20087274483205
2013-11-28,415.0095932903049,73.03261308400599,341.9769802062989
2013-11-29,414.57482747281085,72.82189360866651,341.7529338641443
2013-11-30,414.1405171178389,72.61178211783434,341.52873500000453
2013-12-01,413.7066617482446,72.40227685730457,341.30438489094
2013-12-02,413.2732608873833,72.19337607793351,341.07988480944977
2013-12-03,412.84031405910974,71.9850780356242,340.85523602348553
2013-12-04,412.40782078777744,71.77738099131207,340.63043979646534
2013-12-05,411.9757805982382,71.57028321095012,340.40549738728805
2013-12-06,411.54419301584164,71.36378296549455,340.18041005034706
2013-12-07,411.1130575664346,71.15787853089029,339.9551790355443
2013-12-08,410.6823737763606,70.95256818805686,339.72980558830375
2013-12-09,410.25214117245935,70.74785022287357,339.50429094958577
2013-12-10,409.8223592820664,70.54372292616551,339.27863635590086
2013-12-11,409.39302763301225,70.34018459368934,339.0528430393229
2013-12-12,408.96414575362223,70.13723352611882,338.8269122275034
2013-12-13,408.5357131727157,69.9348680290307,338.600845143685
2013-12-14,408.1077294196057,69.73308641289077,338.3746430067149
2013-12-15,407.6801940240982,69.53188699303945,338.1483070310588
2013-12-16,407.25310651649204,69.33126808967792,337.92183842681413
2013-12-17,406.8264664275778,69.13122802785412,337.69523839972373
2013-12-18,406.40027328863783,68.93176513744862,337.4685081511892
2013-12-19,405.9745266314454,68.73287775316066,337.24164887828476
2013-12-20,405.54922598826437,68.53456421449461,337.0146617737698
2013-12-21,405.1243708918485,68.33682286574557,336.78754802610297
2013-12-22,404.69996087544115,68.13965205598592,336.56030881945526
2013-12-23,404.2759954727746,67.94305013905135,336.3329453337232
2013-12-24,403.8524742180695,67.74701547352738,336.10545874454215
2013-12-25,403.4293966460347,67.55154642273529,335.87785022329945
2013-12-26,403.0067622918663,67.35664135471862,335.6501209371477
2013-12-27,402.5845706912474,67.16229864222976,335.42227204901764
2013-12-28,402.1628213803474,66.96851666271596,335.19430471763144
2013-12-29,401.74151389582175,66.77529379830602,334.9662200975157
2013-12-30,401.32064777481133,66.5826284357969,334.73801933901444
2013-12-31,400.90022255494176,66.39051896663993,334.5097035883018
2014-01-01,400.48023777432314,66.19896378692756,334.2812739873956
2014-01-02,400.0606929715495,66.00796129738015,334.0527316741693
2014-01-03,399.6415876856981,65.81750990333222,333.82407778236586
2014-01-04,399.2229214563291,65.62760801471936,333.59531344160973
2014-01-05,398.8046938234852,65.43825404606513,333.36643977742006
2014-01-06,398.38690432769073,65.2494464164674,333.13745791122335
2014-01-07,397.9695525099514,65.06118354958554,332.9083689603659
2014-01-08,397.55263791175395,64.87346387362696,332.679174038127
2014-01-09,397.1361600750652,64.68628582133432,332.4498742537309
2014-01-10,396.72011854233205,64.49964782997213,332.2204707123599
2014-01-11,396.30451285648047,64.31354834131379,331.9909645151667
2014-01-12,395.8893425609155,64.12798580162877,331.76135675928674
2014-01-13,395.47460719952045,63.942958661669344,331.5316485378511
2014-01-14,395.06030631665635,63.7584653766578,331.30184093999856
2014-01-15,394.6464394571617,63.57450440627372,331.071935050888
2014-01-16,394.23300616635174,63.391074214640724,330.841931951711
2014-01-17,393.8200059900181,63.20817327031392,330.6118327197042
2014-01-18,393.4074384744282,63.0258000462672,330.381638428161
2014-01-19,392.9953031663248,62.84395301988018,330.1513501464446
2014-01-20,392.58359961292547,62.66263067292569,329.9209689399998
2014-01-21,392.17232736192216,62.48183149155719,329.690495870365
2014-01-22,391.7614859614807,62.30155396629589,329.4599319951848
2014-01-23,391.35107496024006,62.1217965920183,329.22927836822174
2014-01-24,390.94109390731234,61.942557867943584,328.99853603936873
2014-01-25,390.5315423522818,61.76383629762124,328.76770605466055
2014-01-26,390.12241984520466,61.58563038891826,328.5367894562864
2014-01-27,389.7137259366084,61.4079386540069,328.3057872826015
2014-01-28,389.30546017749145,61.230759609352326,328.0747005681391
2014-01-29,388.8976221193226,61.054091775699995,327.8435303436226
2014-01-30,388.4902113140405,60.87793367806341,327.6122776359771
2014-01-31,388.0832273140532,60.702283845711975,327.38094346834123
2014-02-01,387.67666967223767,60.52714081215841,327.1495288600793
2014-02-02,387.27053794193927,60.35250311514667,326.9180348267926
2014-02-03,386.8648316769713,60.17836929663986,326.6864623803314
2014-02-04,386.45955043161445,60.00473790280781,326.45481252880666
2014-02-05,386.0546937606164,59.831607484015066,326.2230862766013
2014-02-06,385.6502612191911,59.65897659480875,325.9912846243824
2014-02-07,385.2462523630188,59.486843793906665,325.75940856911217
2014-02-08,384.84266674824494,59.315207644184966,325.52745910406
2014-02-09,384.43950393148003,59.1440667126663,325.29543721881373
2014-02-10,384.03676346979904,58.97341957050804,325.063343899291
2014-02-11,383.63444492074103,58.80326479298997,324.83118012775105
2014-02-12,383.2325478423085,58.63360095950262,324.5989468828059
2014-02-13,382.83107179296707,58.46442665353552,324.36664513943157
2014-02-14,382.4300163316448,58.29574046266508,324.1342758689797
2014-02-15,382.029381017732,58.12754097854292,323.9018400391891
2014-02-16,381.6291654110804,57.95982679688433,323.6693386141961
2014-02-17,381.2293690720029,57.792596517456175,323.43677255454674
2014-02-18,380.82999156127295,57.6258487440654,323.2041428172075
2014-02-19,380.4310324401242,57.4595820845475,322.97145035557674
2014-02-20,380.03249127025003,57.29379515075458,322.73869611949544
2014-02-21,379.6343676138028,57.12848655854404,322.5058810552588
2014-02-22,379.2366610333937,56.96365492776682,322.2730061056269
2014-02-23,378.83937109209216,56.79929888225616,322.040072209836
2014-02-24,378.4424973534252,56.635417049815736,321.8070803036095
2014-02-25,378.04603938137717,56.47200806220844,321.57403131916874
2014-02-26,377.6499967403892,56.30907055514501,321.3409261852442
2014-02-27,377.25436899535873,56.14660316827244,321.10776582708627
2014-02-28,376.85915571163895,55.9846045451627,320.87455116647624
2014-03-01,376.46435645503846,55.82307333330157,320.6412831217369
2014-03-02,376.06997079182065,55.662008184077074,320.40796260774357
2014-03-03,375.6759982887034,55.50140775276836,320.17459053593507
2014-03-04,375.28243851285833,55.341270698534615,319.9411678143237
2014-03-05,374.88929103191066,55.18159568440358,319.70769534750707
2014-03-06,374.4965554139385,55.02238137726054,319.47417403667794
2014-03-07,374.1042312274724,54.86362644783731,319.2406047796351
2014-03-08,373.712318041495,54.70532957070091,319.0069884707941
2014-03-09,373.3208154254404,54.54748942424262,318.7733260011978
2014-03-10,372.92972294919383,54.390104690666895,318.53961825852696
2014-03-11,372.53904018309106,54.23317405598053,318.30586612711056
2014-03-12,372.148766697918,54.076696209981435,318.07207048793657
2014-03-13,371.7589020649103,53.920669846247804,317.8382322186625
2014-03-14,371.36944585575253,53.765093662127356,317.6043521936252
2014-03-15,370.9803976425782,53.60996635872621,317.370431283852
2014-03-16,370.591756997969,53.45528664089813,317.1364703570709
2014-03-17,370.20352349495437,53.30105321723391,316.90247027772045
2014-03-18,369.815696707011,53.14726480005023,316.6684319069608
2014-03-19,369.42827620806247,52.993920105379146,316.4343561026833
2014-03-20,369.04126157247873,52.841017852957435,316.20024371952127
2014-03-21,368.65465237507556,52.68855676621566,315.9660956088599
2014-03-22,368.26844819111415,52.53653557226764,315.73191261884654
2014-03-23,367.8826485963007,52.384953001899966,315.49769559440074
2014-03-24,367.49725316678604,52.233807789561105,315.2634453772249
2014-03-25,367.1122614791647,52.08309867335109,315.0291628058136
2014-03-26,366.72767311047505,51.93282439501077,314.7948487154643
2014-03-27,366.34348763819844,51.78298369991164,314.5605039382868
2014-03-28,365.95970464025885,51.633575337044945,314.3261293032139
2014-03-29,365.5763236950225,51.48459805901147,314.091725636011
2014-03-30,365.1933443812972,51.33605062201124,313.857293759286
2014-03-31,364.8107662783321,51.18793178583284,313.62283449249924
2014-04-01,364.4285889658171,51.04024031384319,313.3883486519739
2014-04-02,364.0468120238824,50.89297497297743,313.153837050905
2014-04-03,363.6654350330981,50.746134533728245,312.91930049936985
